zip_code,year,quarter,ev_registrations
11228,2022,2,1
11228,2022,3,2
11228,2022,4,1
11228,2023,2,1
11228,2023,3,1
11228,2024,2,4
11228,2025,2,2
11228,2025,4,1
11229,2022,2,1
11229,2022,3,2
11229,2022,4,2
11229,2023,3,2
11229,2023,4,12
11229,2024,1,1
11229,2024,2,2
11229,2024,3,1
11229,2024,4,3
11229,2025,2,1
11229,2025,3,2
11229,2025,4,1
11230,2023,1,2
11230,2023,2,3
11230,2023,3,5
11230,2023,4,6
11230,2024,1,2
11230,2024,2,3
11230,2024,3,3
11230,2024,4,4
11230,2025,2,1
11230,2025,3,1
11231,2022,4,2
11231,2023,4,1
11231,2024,1,2
11231,2024,2,1
11233,2022,2,1
11233,2022,3,1
11233,2024,1,2
11234,2023,1,2
11234,2023,2,1
11234,2024,3,2
11234,2025,1,4
11234,2025,2,2
11234,2025,3,2
11234,2025,4,2
11235,2022,3,5
11235,2023,1,2
11235,2023,3,8
11235,2023,4,4
11235,2024,3,1
11235,2024,4,4
11235,2025,3,3
11235,2025,4,1
11238,2022,3,1
11238,2024,3,1
11243,2024,2,1
11243,2024,3,1
11249,2023,2,1
11249,2023,3,1
11249,2023,4,1
11249,2024,1,2
11249,2024,4,1
11249,2025,1,1
11354,2024,1,2
11354,2024,3,3
11354,2025,2,4
11355,2022,4,4
11355,2024,1,2
11355,2024,2,2
11355,2024,3,1
11355,2024,4,2
11356,2023,4,1
11356,2024,2,2
11356,2024,4,1
11357,2023,4,2
11357,2024,4,2
11360,2023,4,2
11360,2024,4,2
11361,2023,4,2
11362,2022,4,2
11362,2023,1,1
11362,2025,2,2
11363,2023,3,3
11363,2023,4,4
11363,2025,4,1
11364,2022,4,1
11364,2023,1,3
11364,2024,3,1
11364,2024,4,3
11364,2025,1,2
11364,2025,2,2
11365,2023,3,2
11365,2024,1,2
11365,2024,2,1
11366,2024,4,2
11366,2025,1,2
11366,2025,3,1
11366,2025,4,1
11367,2023,3,2
11368,2024,2,1
11368,2024,3,3
11368,2024,4,2
11368,2025,3,1
11370,2023,1,4
11370,2023,2,1
11370,2025,1,2
11370,2025,2,1
11370,2025,3,1
11372,2023,4,2
11372,2024,1,1
11372,2025,4,1
11373,2024,2,2
11373,2024,3,2
11373,2024,4,3
11374,2023,3,1
11374,2023,4,2
11374,2024,2,2
11374,2025,1,3
11374,2025,2,1
11375,2023,1,1
11375,2023,2,2
11375,2023,3,2
11375,2023,4,6
11375,2024,1,2
11375,2025,3,2
11377,2022,3,1
11377,2024,3,2
11377,2024,4,1
11378,2023,2,1
11378,2023,3,3
11378,2025,3,3
11378,2025,4,2
11379,2023,1,1
11379,2023,2,3
11379,2023,3,1
